Dept,Supplier Reference,Warehouse,Part Number,Physical inventory,Sub Location
MA,,MA-MAIN,HLA1530TW2509588,1.00,
MA,,MA-MAIN,HLA1530TW2510685,1.00,
MT,,MT-MAIN,BRHVQ3,1.00,
MT,,MT-MAIN,172-868-12,2.00,
MT,,MT-MAIN,810-191-21-MAP-1,1.00,
MT,,MT-MAIN,178-741-13,1.00,HL3L21
MT,,MT-MAIN,178-742-13,2.00,HL3L21
MT,,MT-MAIN,F0N9L94,1.00,
NC,,NC-MAIN,3260770,1.00,
NC,,NC-MAIN,359312,1.00,
NC,,NC-MAIN,359402,1.00,
NC,,NC-MAIN,04D1C296,1.00,
NC,,NC-MAIN,172602447,1.00,
NC,,NC-MAIN,172600395,1.00,
VKH,,VKH-MAIN,S-A1020221574P,1.00,
VKH,,VKH-MAIN,S-A1120221564P,1.00,
VKH,,VKH-MAIN,H-B0720221177P,1.00,
VKH,,VKH-MAIN,S-A0720231080P,1.00,
VKH,,VKH-MAIN,S-A0720231081P,1.00,
VKH,,VKH-MAIN,H-B0820241070P,1.00,
VKH,,VKH-MAIN,H-B0820241073P,1.00,
VKH,,VKH-MAIN,S-A0720231082P INC,1.00,
VKM,,VKM-MAIN,SCH-4/8-40,1.00,
VKM,,VKM-MAIN,PRA03L1,1.00,
VKM,,VKM-MAIN,ORA04L1,1.00,
VKM,,VKM-MAIN,PFD510A SN:2507R00041,1.00,
VKM,,VKM-MAIN,"HQ-5C, SN: 202517818",1.00,
VKM,,VKM-MAIN,HQ-30-PM-S 20265930,1.00,
VKO,,VKO-MAIN,WW965/L100N,1.00,
VKO,,VKO-MAIN,CM107147025-01 MC9P-500/960 440/3/60,1.00,
VKO,,VKO-MAIN,"CE20-500, 2129810426",1.00,
MA,,MA-MAIN,PFD510A,1.00,
MT,,MT-MAIN,S/N 100104  ;  CN 0040356-00,1.00,
MT,,MT-MAIN,PMP-60C,3.00,HL3L30
MT,,MT-MAIN,PMP - 60B,3.00,HL3L30
MT,,MT-MAIN,PMZM -7B -ST1,1.00,HL3L30
MT,,MT-MAIN,S/N 2305107 ; CN 359-508,1.00,HL3L37
MT,,MT-MAIN,178-561-01E,2.00,HL3L21
MT,,MT-MAIN,191-125,1.00,
MT,,MT-MAIN,178-561-12E,2.00,HL3L21
MT,,MT-MAIN,302-802-10,1.00,
MT,C,MT-MAIN,0253129-00,1.00,HL3L20
MT,,MT-MAIN,0336918-00,1.00,HL3L20
NC,,NC-MAIN,COMM NO.327.623 (3),1.00,
NC,,NC-MAIN,22110406,1.00,
NC,,NC-MAIN,23217B,1.00,
VKM,,VKM-MAIN,DSA69B,2.00,
VKM,,VKM-MAIN,KHA750-301-G1 (380 V),1.00,
VKM,,VKM-MAIN,KHA750-301-G1 (220V),1.00,
